en-CA,fr-CA
2 Cheeseburger Extra Value Meal,2 P Frites
2 Cheeseburgers,2 Patates hachées brunes
2 Cookies VM,2 Splenda
2 Cream,2 SPLENDA (G)
2 CREAM (L),2 SPLENDA (M)
2 CREAM (M),2 SPLENDA (S)
2 CREAM (S),2 SPLENDA (TG)
2 CREAM (XL),2 sucre
2 Eggs & Brown Toast,2 SUCRE (G)
2 Eggs & White Toast,2 SUCRE (M)
"2 Eggs, Bacon & Brown Toast",2 SUCRE (P)
"2 Eggs, Bacon & White Toast",2 SUCRE (TG)
2 Fried Eggs,2 tranches de fromage seulemen
2 Fried Eggs & Brown Toast Meal,2 tranches de fromage seulement
2 Fried Eggs & White Toast Special,20 McCroquettes
"2 Fried Eggs, Bacon, & Brown Toast Meal",20 morceaux de Poulet McCroque
"2 Fried Eggs, Bacon, & White Toast Meal",20 morceaux de Poulet McCroquettes (portion pour 2
2 Friendship Bracelets,20 morceaux de Poulet McCroquettes (portion pour 2)
2 Hamburger,20 Poulet McCroquettes
2 Hamburger Extra Value Meal,250ml de lait au Chocolat
2 Hamburgers,2Dollar Promo bannière
2 Hash Browns,3 Boisson à l’avoine
2 Ketchup Packets,3 bouchées de patates hachées
2 McMuffins with Egg Offer,3 bouchées de patates hachées brunes
2 Milk,3 crème
2 MILK (L),3 CRÈME (G)
2 MILK (M),3 CRÈME (M)
2 MILK (S),3 CRÈME (P)
2 MILK (XL),3 CRÈME (TG)
2 Oat Beverage,3 lait
2 Pies,3 LAIT (G)
2 Regular McFlurry for $6.00,3 LAIT (M)
2 RMHC Cookies,3 LAIT (P)
2 S French Fries,3 LAIT (TG)
2 S Fry,3 Poulet McCroquettes
2 Snack McFlurry for $5.00,3 Splenda
2 Splenda,3 SPLENDA (G)
2 SPLENDA (L),3 SPLENDA (M)
2 SPLENDA (M),3 SPLENDA (P)
2 SPLENDA (S),3 SPLENDA (TG)
2 SPLENDA (XL),3 sucre
2 Sugar,3 SUCRE (G)
2 SUGAR (L),3 SUCRE (M)
2 SUGAR (M),3 SUCRE (P)
2 SUGAR (S),3 SUCRE (TG)
2 SUGAR (XL),4 Boisson à l’avoine
2% Milk,4 bouchées de patates hachées
20 Chicken McNuggets,4 bouchées de patates hachées brunes
20 Chicken McNuggets (Serves 2,4 crème
20 chicken McNuggets (Serves 2),4 CRÈME (G)
20 Chicken McNuggets (Serves 2),4 CRÈME (M)
20 McNugget Sharebox,4 CRÈME (P)
20 McNugget Sharebox (Serves 2,4 CRÈME (TG)
20 McNugget Sharebox (Serves 2),4 lait
20 McNugget Sharebox w Pie,4 LAIT (G)
20 McNugget Sharebox w/ 4 Cookies,4 LAIT (M)
20 McNuggets,4 LAIT (P)
20 McNuggets Extra Value Meal (Serves 2),4 LAIT (TG)
20-piece Chicken McNuggets Mea,4 McCroquettes
20-piece Chicken McNuggets Meal (Serves 2),4 McCroquettes Offre
2Dollar Promo Banner,4 morceaux de Poulet McCroquettes
3 Cheeseburger or Hamburger of,4 Poulet McCroquettes
3 Cheeseburger or Hamburger offer,4 Splenda
3 Chicken McNuggets,4 SPLENDA (G)
3 Cream,4 SPLENDA (M)
3 CREAM (L),4 SPLENDA (S)
3 CREAM (M),4 SPLENDA (TG)
3 CREAM (S),4 sucre
3 CREAM (XL),4 SUCRE (G)
3 Grain Sesame Ginger Salad,4 SUCRE (M)
3 McNug & 2 Cookies,4 SUCRE (P)
3 McNug & Sundae,4 SUCRE (TG)
3 McNuggets,40 morceaux de Poulet McCroquettes (portion pour 4)
3 McNuggets & Dessert,40 Poulet McCroquettes
3 McNuggets Pairing,6 Biscuits douceur
3 Milk,6 biscuits OMRM
3 MILK (L),6 Danois
3 MILK (M),6 Mccroq et côte
3 MILK (S),6 McCroquettes
3 MILK (XL),6 muffins assortis
3 Mini Potato Hash Browns,6 muffins au choix
3 Oat Beverage,6 muffins cuits au four assort
3 Splenda,6 muffins cuits au four assortis
3 SPLENDA (L),6 muffins cuits au four assortis
3 SPLENDA (M),6 muffins cuits au four au choix
3 SPLENDA (S),6 Poulet McCroquettes
3 SPLENDA (XL),8 bouchées de patates hachées
3 Sugar,8 bouchées de patates hachées brunes
3 SUGAR (L),À-Côte
3 SUGAR (M),À-côté
3 SUGAR (S),À-Côté
3 SUGAR (XL),accessoires
4 Can Dine,AHA Lime Pastèque Eau pétillan
4 Chicken McNuggets,AHA Lime Pastèque Eau pétillante
4 Cream,Aîné
4 CREAM (L),Aîné chocolat chaud en sachet
4 CREAM (M),Aîné Coca-Cola
4 CREAM (S),Aîné Coca-Cola Zero
4 CREAM (XL),Aîné Coke Diète
4 McNug & Cookies,Aîné Fruitopia fraises
4 McNuggets,Aîné Fruitopia orange
4 McNuggets Offer,Aîné Racinette Barq's
4 McNuggets VM,Aîné Sprite
4 Milk,Ajouter eau chaude
4 MILK (L),Americano
4 MILK (M),Asiago et Bacon ***
4 MILK (S),Assaisonnement
4 MILK (XL),Assaisonnement à l'ail
4 Mini Potato Hash Browns,Aucun accessoire
4 Oat Beverage,Aucun couvercle à boisson froi
4 Splenda,Aucun couvercle à boisson froide
4 SPLENDA (L),Authentique Croissant Francais
4 SPLENDA (M),Authentique Croissant Francais avec Fromage
4 SPLENDA (S),Autre receipt
4 SPLENDA (XL),Autres boissons
4 Sugar,Autres boissons chaudes
4 SUGAR (L),Autres boissons froides
4 SUGAR (M),Autres collations
4 SUGAR (S),Autres collations et à-côtés
4 SUGAR (XL),Autres condiments
40-piece Chicken McNuggets,Autres hamburgers
40-piece Chicken McNuggets (Serves 4),Autres sandwichs au poulet
6 Baked Muffins Assorted,Avec ustensiles
6 Caring Cookies,Avec/pas ustensiles
6 Chicken McNuggets,Bacon
6 McNugget,Bacon 2 tranches complètes
6 McNugget Extra Value Meal,Bacon de dos
6 McNuggets,Bacon McCrêp oe
6 McNuggets & Side Deal,Bacon McCrêpes avec œuf
6 McNuggets Extra Value Meal,Bacon McCrêpes oeuf
6 Muffins Assorted,Bacon McMuf oeuf
6 RMHC Cookies,Bacon McMuffin avec œuf
6 Signature Danish,Bacon McMuffin oeuf
8 Mini Potato Hash Browns,Bacon McMuffin œuf et sauce à
Acai Blueberry Pom Vita Wate,Bacon McMuffin œuf et sauce à l’ail style Frank’s
Acai Blueberry Pomegranate Vitamin Water,Bacon Oeuf McMuffin et phb duo
Accessories,Bag Bac Œuf et Gouda ***
ADB Bagel Type,Bag Bac oeuf Goud
Add Hot Water,Bagel
Advantage Card,Bagel ***
Affogato,Bagel au bacon et guacamole
AHA Lime Watermelon,Bagel b-oeuf  & 2PHB ***
AHA Lime Watermelon Sparkling Water,Bagel b-oeuf ***
All Day Breakfast,Bagel b-oeuf & 2PHB ***
Almond Beverage,Bagel b-oeuf & PHB ***
Almond Milk,Bagel Bacon & guacamole
Americano,Bagel bla b-oeuf
Americano Coffee,Bagel bla from crè
any McChicken Sandwich,Bagel blanc b-oeuf
Apple & Blueberry Cream Cheese,Bagel blanc fromcrèm
Apple & Blueberry Cream Cheese Pies,Bagel BLT ***
Apple Danish,Bagel BLT & PHB ***
Apple Juice,Bagel BLT plein-goût
Apple Pie Pairing,Bagel BLT R ***
Apple Pie Special,Bagel BLT Tout
Apple Slices,Bagel fromage
Apple Topping,Bagel grains
Apples,Bagel lt oeuf ***
Applewood Sauce,Bagel LT oeuf ***
Asiago & Bacon Chkn ***,Bagel lt oeuf & PHB ***
Asiago & Bacon Chkn EVM ***,Bagel nature
Asiago & Bacon Chkn LV ***,Bagel Nature
Asiago & Bacon Chkn RV ***,Bagel nature avec bacon et oeuf
Asian Cashew Salad,Bagel nature avec oeuf et bacon
Asian Sesame Fusion Salad,Bagel nature avec oeuf et saucisse
Ask Me,Bagel nature avec produit régulier fromage à la crème
Authentique French Croissant w,Bagel nature avec produit régulier fromage à la crème
Authentique French Croissant with Cheese,Bagel nature avec rég from crè
Avoidable Driver Wait Time Fee,Bagel nature avec régulier fromage à la crème
B-2fr Htck Brn Tst,Bagel nature avec saucisse et oeuf
B-2fr Htck Brn Tst VM,Bagel nature bacon et oeuf
B-2fr Htck Wht Tst,Bagel nature BLT
B-2fr Htck Wht Tst VM,Bagel nature BLT avec oeuf
B-Chsb Deluxe,Bagel nature oeuf et bacon
B-Egg Bagel,Bagel nature oeuf et saucisse
B-Egg Bagl VM,Bagel nature prod rég from crè
B-Egg Guac Bagel***,Bagel nature saucisse et oeuf
Bac Dbl Cheeseburger,Bagel origin b-oeuf
Bac Deluxe Grilled Chicken,Bagel original
Bac Egg Bagl VM,Bagel Original BLT
Bacon 'n Egg Croissant,Bagel p-goût
Bacon 'n Egg Croissant on Chee,Bagel plein-goût
Bacon 'n Egg Croissant on Cheese Croissant,Bagel plein-goût avec produit régulier fromage à la crème
Bacon 'n Egg McMuffin,Bagel plein-goût bacon et oeuf
Bacon 'N Egg McMuffin,Bagel plein-goût BLT avec oeuf
Bacon 'N Egg McMuffin Extra Value Meal,Bagel plein-goût rég from crèm
Bacon 'n' Egg McMuffin,Bagel plein-goût sauc et oeuf
Bacon 'n' Egg McMuffin Extra Value Meal,Bagel plein-goût saucisse et oeuf
Bacon & Guacamole Bagel,Bagel R ***
Bacon Chsb Deluxe,Bagel Sandwichs
Bacon Dbl Chsb,Bagel sésa avec bacon et oeuf
Bacon Deluxe Grilled Chicken Sandwich,Bagel sésa avec oeuf et bacon
Bacon Deluxe Grilled Chicken Sandwich Extra Value Meal,Bagel sésa avec oeuf et saucisse
Bacon Deluxe McCrispy,Bagel sésa avec saucisse et oeuf
Bacon Deluxe McCrispy Extra Value Meal,Bagel sésa bacon et oeuf
Bacon Double Cheeseburger,Bagel sésa BLT avec oeuf
Bacon Double Cheeseburger Extra Value Meal,Bagel sésa oeuf et bacon
Bacon Egg Bagel ***,Bagel sésa oeuf et saucisse
Bacon Egg McMuffin,Bagel sésa saucisse et oeuf
Bacon Egg McMuffin & Hash Brown Deal,Bagel sésame avec fromage à la crème original
Bacon Egg McMuffin & HB Deal,Bagel sésame avec régulier fro
Bacon McWrap Grilled,Bagel sésame avec régulier fromage à la crème
Bacon Pieces,Bagel sésame BLT
Bacon Strip,Bagel sésame from crème orig
Bacon Strips,Bagels
"Bacon, Egg & Cheese McGriddles",Bagels et tartinades
"Bacon, Egg & Cheese McGriddles Extra Value Meal","Bagels grillés, etc."
Bag,Bagels-matin
Bag B-Egg Gouda,Barbotines
Bag B-Egg Gouda VM,Bâtonnets
Bag Fee (2 Bags),Bâtons des étoiles de la LNH
Bag Selection,Bâtons LNH
Bagel,Beurre
Bagel ***,Beurre arachide avec couteau
Bagel & Soup,Beurre avec couteau
Bagel Bacon Egg EVM,Beurre d'arachide
Bagel Bacon Egg Guac EVM,Bien grillé
Bagel Crm Chs with Soup,Big Mac
Bagel Plain,Big Mac (sans viande)
Bagel Plain VM,Big Mac enfant
Bagel Sandwich,Big Mac et côte
Bagel Sandwiches,"Big Mac, sans viande"
Bagel Sausage Egg EVM,Billet hockey
Bagel Type,Biscuit arc-en-ciel
Bagel with Butter,Biscuit aux morceaux de chocol
Bagel with Cream Cheese,Biscuit aux morceaux de chocolat
Bagels,Biscuit s'mores
Bagels & Spreads,Biscuits
Bagl ***,Biscuits douceur
Bagl B-Egg EVM ***,Bist Thaïe m frites ***
Bagl B-Egg VM ***,Blanc 250ml de lait
Bagl Bac Egg 'N Gouda,Blanc d'oeuf
Bagl Bac Egg 'N Gouda VM,Bleuets
Bagl Bac Egg VM ***,BLT poulet ***
Bagl Bacon Egg  ***,Boisson
Bagl Bacon Egg ***,Boisson à l’avoine
Bagl BLT ***,Boisson café chaude specialite
Bagl BLT EVM ***,Boisson d'amande
Bagl BLT VM ***,Boisson fontaine
Bagl Bny B-Egg  VM ***,Boisson Latte/Cappuccino
Bagl Bny B-Egg VM ***,Boisson McCafé chaude
Bagl Bny Bacon Egg  ***,Boisson McCafé Chaude
Bagl Bny Bacon Egg ***,Boisson Splash fraîcheur
Bagl Crm Chs VM,Boissons chaudes
Bagl Egg BLT ***,Boissons de fontaine
Bagl Egg BLT EVM ***,Boissons en bouteille
Bagl Egg BLT VM ***,Boissons en bouteille
Bagl Egg LT ***,Boissons fontaine - enfant
Bagl Egg LT EVM ***,Boissons froides
Bagl Egg LT VM ***,Boissons Splash fraîcheur
Bagl Egg LT***,Boîte à café
Bagl Plain ***,Boîte à café (pour 12 pers.)
Bagl R ***,Boîte à décaf
Bagl Sau Egg ***,Boîte à décaf (pour 12 pers.)
Bagl Sau Egg VM ***,Boîte à partager (2 personnes)
Bagl w/ CC ***,Boîte à partager (pour 2 personnes)
Bagl w/ CC VM ***,Boîte à partager 20 McCroq
Bagl w/ R/CC Smk Slmn,Boîte à partager des Fêtes
Bagl w/ Spreads,Boîte à partager des Fêtes
Bagl w/ Spreads ***,Boîte à partager des Fêtes avec chaussons
Bagl w/Cream Chs,Bouchées de patates du Grincheux
Bags,Bout consignée
Baked Apple Pie,Bouteille
Baked Blueberry Cream Cheese Pie,Bouteille au miel
Baked Muffins,Bouteille consignée
Baked Pies,Bouteille d'eau
Bakery,Bouteille d'eau DASANI
Bakery & Sweets & Treats,Bouteille de lait 1%
Bakery Pairings,Bouteille de lait 1% au choco
Barbeque Sauce,Bouteille de lait 1% au chocolat
Barq's Root Beer,Bouteille de Sprite
BBQ Sauce,Brioche à la cannelle
Begel,Brunch
Benny B-Egg Bagl VM,Burrito-matin
Benny B-Egg Bgl VM ***,Burritos-matin
Benny Bacon Egg Bagel ***,Café frappé
Bergamia Grey Tea,Café frappé + crème fouettée + coulis au choc.
Berry McPops,Café glacé
Big Arch,Café glacé à la vanille
Big Breakfast,Café glacé au caramel
Big Mac,Café glacé au caramel salé
Big Mac (No Meat),Café glacé avec boisson à l'avoine
Big Mac (No Meat) Extra Value Meal,Café glacé avec sirop sans sucre
Big Mac & Side Deal,Café infusé
Big Mac Extra Value Meal,Café infusé à froid
Big Mac Offer,Café infusé à froid avec sirop sans sucre et crème
Big Mac Sauce,Café infusé à froid caramel et crème
"Big Mac, No Meat",Café infusé à froid sucré avec boisson à l'avoine
Bistro Sandwiches,Café infusé à froid sucré avec crème
Black,Café infusé à froid vanille française et crème
Black & White Sesame Bun,Café infusé aînés
Black & White Sesame Seed Bun,Café infusé décaféiné
Black Bean Salad,Café infusé décaféiné aînés
Block Party GC,Café infusé et thé
Block Party Gift Certs,Café surcharge
BLT Bagel,Café tg surcharge
BLT Bagl VM,Café/thé
BLT Chicken ***,Café/Thé
Blue Raspberry Syrup,Canette consignée
Blue Stainless Bottle,Canneberges & orange (contient maintenant du soja)
Blueberries,Cappuccino
Blueberry,Cappuccino (lait 2%)
Blueberry Cream Cheese Pie,Cappuccino (lait aux amandes)
Blueberry Muffin,Cappuccino (lait d'amande)
Blueberry Pomegranate Real Fruit Smoothie,"Cappuccino, format moyen (lait aux amandes)"
Blueberry Pomegranate Smoothie,"Cappuccino, grand format (lait aux amandes)"
Book,"Cappuccino, petit format (lait aux amandes)"
Book or Toy,Caramel
Bottle Deposit,Caramel poudre
Bottled Beverages,Carottes et concombres
Bottled Drink,Carottes râpées
Bottled Water,Carte avantage
Breakfast Bundle for 4,Carte cadeau 10$
Breakfast Bundle for 4 (Serves 4),Carte cadeau 20$
Breakfast Burrito,Carte cadeau 25$
Breakfast Burritos,Carte cadeau 5$
Breakfast Menu,Carte cadeau 50$
Breakfast Poutine,Cartes K-Pop
Breakfast Sandwich,CC Saint-Valentin
Breakfast Sandwiches,CC St-Valentin
Breakfast Wraps & Burritos,Certif Block Party
Brewed Coffee & Tea,Certif Halloween
Brewed Iced Tea,Certificat Block Party
Brie Cheese,Certificat Halloween
Brown Toast,Chai frappé à la vanille
Brown Toast Special,Chai frappé à la vanille
Brunch,Chai frappé van. + cr. fouettée + coulis au choc.
Bubble Heart Mug,Charge fête
Buffalo Chicken Snack Wrap,Chauss - Zoiso (TMN)
Buffalo Crispy Snack Wrap,Chaussettes
Buffalo Grilled Snack Wrap,Chaussettes - Grimace
Buffalo Sauce,Chaussettes - Pique-Burger
Buffalo SnackWrap® w/ Grilled Chicken McValue Meal,Chaussettes - Pique-Burger (TM
Bun,Chaussettes - Zoiso
Bundles and Sharing,Chaussettes du Grand McDon - C
Burgers,Chaussettes du Grand McDon - Copains McCroquettes
Burnt Sugar Topping,Chaussettes du Grand McDon - G
Burrito Mix,Chaussettes du Grand McDon - Grimace
Butter,Chaussettes du Grand McDon - Grimace (TMN)
Butter Packet,Chaussettes du Grand McDon - Pique-Burger
Butter with knife,Chaussettes du Grand McDon - Pique-Burger (TMN)
"Buy One, Get One Free*",Chaussettes du Grand McDon - Zoiso
C Water,Chaussettes du Grand McDon - Zoiso (TMN)
Cadbury Crème Egg McFlurry,Chausson aux bleuets
Caesar Dressing,Chausson aux bleuets et au fromage à la crème cuit au four
Caesar Entrée Salad,Chausson aux pommes
Caesar McWrap Grilled Chicken,Chausson aux pommes cuit au four
Caesar McWrap with Grill Chick,Chausson pommes
Caesar Signature McWrap with Grilled Chicken,Chaussons cuits au four
Caesar Signature McWrap with Grilled Chicken Extra Value Meal,Chaussons pommes/bleuets et fr
Caesar Veggie Mix,Chaussons pommes/bleuets et fromage à la crème
Café Sandwiches,Cheddar naturel
Cajun Aioli Sauce,Child Cup
Cajun McWrap Grilled Chicken,Chips tortillas
Cajun McWrap with Grill Chick,Chocolat
Cajun Ranch McWrap,Chocolat chaud
Cajun Ranch McWrap Value Meal,Chocolat chaud
Cajun Signature McWrap with Grilled Chicken,Chocolat chaud  (lait 2%)
Cajun Signature McWrap with Grilled Chicken Extra Value Meal,Chocolat chaud (lait 2%)
Can Deposit,Chocolat chaud (lait aux amandes)
Canada Stainless Cup,Chocolat chaud en sachet
Canadian Back Bacon,Chocolat chaud gourmet
Cappuccino,Chocolat chaud L
Cappuccino (2% Milk),"Chocolat chaud, format moyen (lait aux amandes)"
Cappuccino (Almond Milk),"Chocolat chaud, grand format (lait aux amandes)"
Carafe Item,"Chocolat chaud, petit format (lait aux amandes)"
Caramel,Choisir À-Côté Joyeux Festin
Caramel Cream Cold Brew,Choisir bagel
Caramel Iced Coffee,Choisir biscuits
Caramel Latte (2% Milk),Choisir boisson chaude
Caramel Latte (Almond milk),Choisir boisson Joyeux Festin
Caramel Latte (Almond Milk),Choisir boisson McCafe
Caramel Powder,Choisir boisson/s
Caramel Sundae,Choisir boisson/s M
Caramel Syrup,Choisir café
Caramelized Coconut,Choisir café/déca
Caramelized Onions,Choisir café/thé
Caring Cookies,Choisir Carafe
Carolina BBQ Sauce,Choisir chaussons
Carrier Mug,Choisir Côte
Carrot and Cucumber,Choisir croissants
Carrot Muffin,Choisir des frites
Ceramic Mug,Choisir DTJ Bagel
Chai Cardamom Tea Latte (2% Milk),Choisir Joyeux Festin
Chai Cardamom Tea Latte (Almond Milk),Choisir MacPoulet au choix à X
Chai Glow Tea,Choisir MacPoulet au choix à X$
Cheese,Choisir McFlurry
Cheese Bagel,Choisir mini-vienn
Cheese Bagl w/ Spreads,Choisir muffins
Cheese Bagl w/ Spreads ***,Choisir p café
Cheese Croissant,Choisir petit café
Cheese Curds,Choisir sandwich
Cheese Sauce,Choisir Sandwich
Cheeseburger,Choisir sandwich bagel
Cheeseburger Deluxe,Choisir sandwich Bagel
Cheeseburger Deluxe Extra Value Meal,Choisir sandwich McMuffin
"Cheeseburger, No Meat",Choisir sauce tartare
Chewy Chocolate Chunk Cookie,Choisissez vos 2 McPops
CHF ATTRACT PROMO 5,Choisissez vos 6 McPops
Chicken & Bacon McWrap,Classique
Chicken & Bacon McWrap Extra Value Meal,Classique
Chicken & Bacon McWrap with Crispy Chicken,Classique McFlurry Oreo
Chicken & Bacon McWrap with Crispy Chicken Extra Value Meal,Classique McFlurry Skor
Chicken & Bacon McWrap with Grilled Chicken,Classique McFlurry Smarties
Chicken & Bacon McWrap with Grilled Chicken Extra Value Meal,Coca-Cola
Chicken & Bacon Signature McWrap with Grilled Chicken Extra Value Meal,Coca-Cola Zero
Chicken & Fish,Coca-Cola zéro
Chicken Big Mac,Coca-Cola zéro sucre
Chicken Big Mac Extra Value Meal,Coke
Chicken Big Mac Patty,Coke Diète
Chicken Breakfast Wrap,Coke Syrup
Chicken Breakfast Wrap Extra Value Meal,Coke tourbillon de fraise
Chicken McGriddle,"Coke tourbillon de fraise, format moyen"
Chicken McGriddle Extra Value Meal,"Coke tourbillon de fraise, grand format"
Chicken McGriddle or McMuffin Sandwich,"Coke tourbillon de fraise, petit format"
Chicken McGriddle/McMfn,Coke Zero Syrup
Chicken McGriddles,Collation
Chicken McMuffin,Collation McFlurry Oreo
Chicken McMuffin Extra Value Meal,Collation McFlurry Skor
Chicken Nacho Poutine with Crispy Chicken,Collation McFlurry Smarties
Chicken Nacho Poutine with Grilled Chicken,Collation sur le pouce
Chicken Patty,Collations et à-côtés
Chicken Snack Wrap with Crispy Chicken,Commande remise
Chicken Snack Wrap with Grilled Chicken,Concombre
Chickpea & Edamame Salad,Condiments
Child Chocolate Shake,Condiments à côté
Child Clear Cup,Confiture avec couteau
Child Cup,Confiture Double fruit
Child Cup FS,Consigne jus
Child Size,Consigne lait
Child Size Barq's Root Beer,Cornet à la vanille
Child Size Chocolate Shake,Cornet vanille
Child Size Coca-Cola,Cornichons
Child Size Coke,Côte
Child Size Coke Zero,Coulis de chocolat
Child Size Diet Coke,Coupé en deux
Child Size Fruitopia Orange,Coupe gl caramel
Child Size Fruitopia Strawberry,Coupe gl chocolat
Child Size Fuze Iced Tea,Coupe glacé
Child Size FUZE Iced Tea,Coupe glacée à l'espresso
Child Size NESTEA Iced Tea,Coupe glacée au caramel
Child Size Soft Drinks,Coupe glacée au caramel fondant
Child Size Sprite,Coupe glacée au chocolat
Child Size Strawberry Shake,Coupe glacée au chocolat fondant
Child Size Vanilla Shake,Coupe glacée aux caramel
Child Soft Drinks,Coupe glacée caramel
Child Strawberry Shake,Coupe glacée chocolat
Child Vanilla Shake,Coupes glacées et cornet
Chili Lime Glaze,Coupon Local
Chocolate Brownie Muffin,Couteaux
Chocolate Chip Muffin,crème
Chocolate Drizzle,Crème
Chocolate Hazelnut Iced Latte (2% Milk),Crème fouettée
Chocolate Hazelnut Latte (2% Milk),Crème fouettée et coulis de ch
Chocolate Milk,Crème fouettée et coulis de chocolat
Chocolate Milk Bottle,Crêpes
Chocolate Pieces,Crêpes
Chocolate Triple Thick Milkshake,Crêpes et bacon
Cilantro Lime Sauce,Crêpes et saucisse
Cinnamon Swirls,Crêpes ML
Classic Ranch,"Crêpes, collations et à-côtés"
Coca Cola,Croissant
Coca-Cola,Croissant au fromage
Coca-Cola Glass,Croissant dinde et cheddar BLT
Coca-Cola Pin,Croissant français authentique
Coffee  L Upcharge,Croissant français authentique avec bacon et œuf
Coffee Bag Gift Basket,Croissant LT avec œuf
Coffee Frappé,Croissant/Mini-viennoiseries
Coffee Frappé w/ Whipped Cream & Choc Drizzle,Croissants sandwichs
Coffee L Upcharge,Croustade
Coffee or Tea,Cuillères
Coffee XL Upcharge,Danoise aux pommes
Coffee/Decaf,Danoises Signature
Coffee/Tea Only,Dans un verre
Coke,Dbl Dbl
Coke Syrup,Dbl h-from (GCM)
Coke Syrup CS,Dbl h-from comme Mac
Coke Zero,Dbl h-fromage LT
Coke Zero Can,Dbl hamb fromage LT
Coke Zero Sugar Can,DBL Quart de livre avec bacon
Coke Zero Syrup,DBL Quart de livre avec bacon et oignons croust.
Cold Brew,Déjeuner toute la journée
Cold Brew with Sugar-Free Syrup & Cream,Déjeuner traditionnel et 1 pat hach brun
Cold Drinks,Déjeuner traditionnel et PHB
Cold Foam,Délice d’orange
Cold Reusable Cup,"Délice d’orange, format moyen"
Condiments,"Délice d’orange, grand format"
Cookies,"Délice d’orange, petit format"
Cookies,Demandez-moi
Courier Tip,Demi crème
Couscous,Demi déca infusé
Couscous Salad,Demi Filet de poisson
Crafted Sodas,Demi glace
Cranberry & Orange Muffin,Demi lait
Cranberry Orange Muffin,Demi splenda
Cranberry Orange Muffin (Now contains soy),Demi Splenda
Cranberry Packet,Demi sucre
Cranberry Sauce,Dessert
Cream,Deux McFlurry collation
Cream Cheese,"Deux McFlurry, classique 6 $"
Cream Cheese Icing,"Deux McFlurry, format classique, pour 6$"
Cream Chs On Side,"Deux McFlurry, format collation, pour 5$"
Cream Packet,Deux pour le prix d'un*
Creamy Avocado Ranch McWrap,Deux Trios ordinaire
Creamy Avocado Ranch McWrap,Diet Coke Syrup
Creamy Chipotle McWrap,Dinde
Creamy Chipotle McWrap Extra Value Meal,Don 1 $
Creamy Chipotle McWrap with Crispy Chicken,Don à la Maison Ronald McDonal
Creamy Chipotle McWrap with Crispy Chicken Extra Value Meal,Don à la Maison Ronald McDonald
Creamy Chipotle McWrap with Grilled Chicken,Don de 10 $ - Cœur
Creamy Chipotle McWrap with Grilled Chicken Extra Value Meal,Don de 2 $ - Cœur
Creamy Chipotle Sauce,Don de 5 $ - Cœur
Creamy Dijon Mustard,Donner à l’OMRM $3
Creamy Spicy Sauce,Donner à l’OMRM $5
Creamy Strawberry Coke,Double Big Mac
Crispy Chicken Patty,Double double
Crispy Onions,Double espresso
Crispy Ranch Snack Wrap,Double filet de poisson
Crispy Snack Wrap,Double h-fromage
Croissant,Double hamburger
Croissants Sandwiches,Double Hamburger
Crumble,Double hamburger avec fromage
Cucumber,Double Hamburger avec fromage
